Row ID;Row Name;disableParam_NT;disableParamReserve1;disableParamReserve2;refId_default;sfxVariationId;weight;basicPrice;sellValue;behaviorId;replaceItemId;sortId;appearanceReplaceItemId;yesNoDialogMessageId;useEnableSpEffectType;potGroupId;pad;iconId;modelId;shopLv;compTrophySedId;trophySeqId;maxNum;consumeHeroPoint;overDexterity;goodsType;refCategory;spEffectCategory;pad3;goodsUseAnim;opmeMenuType;useLimitCategory;replaceCategory;reserve4;enable_live;enable_gray;enable_white;enable_black;enable_multi;disable_offline;isEquip;isConsume;isAutoEquip;isEstablishment;isOnlyOne;isDiscard;isDeposit;isDisableHand;isRemoveItem_forGameClear;isSuppleItem;isFullSuppleItem;isEnhance;isFixItem;disableMultiDropShare;disableUseAtColiseum;disableUseAtOutOfColiseum;isEnableFastUseItem;isApplySpecialEffect;syncNumVaryId;refId_1;refVirtualWepId;vagrantItemLotId;vagrantBonusEneDropItemLotId;vagrantItemEneDropItemLotId;castSfxId;fireSfxId;effectSfxId;enable_ActiveBigRune;isBonfireWarpItem;enable_Ladder;isUseMultiPlayPreparation;canMultiUse;isShieldEnchant;isWarpProhibited;isUseMultiPenaltyOnly;suppleType;autoReplenishType;isDrop;showLogCondType;isSummonHorse;showDialogCondType;isSleepCollectionItem;enableRiding;disableRiding;maxRepositoryNum;sortGroupId;isUseNoAttackRegion;pad1;saleValue;rarity;useLimitSummonBuddy;useLimitSpEffectType;aiUseJudgeId;consumeMP;consumeHP;reinforceGoodsId;reinforceMaterialId;reinforcePrice;useLevel_vowType0;useLevel_vowType1;useLevel_vowType2;useLevel_vowType3;useLevel_vowType4;useLevel_vowType5;useLevel_vowType6;useLevel_vowType7;useLevel_vowType8;useLevel_vowType9;useLevel_vowType10;useLevel_vowType11;useLevel_vowType12;useLevel_vowType13;useLevel_vowType14;useLevel_vowType15;useLevel;reserve5;itemGetTutorialFlagId;reserve3
22;;1;0;000000;-1;-1;0;0;-1;0;-1;999999;-1;-1;0;-1;00;4032;0;-1;-1;-1;99;0;0;5;0;0;00;0;0;0;0;0000;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;0;255;1;0;-1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
23;;1;0;000000;-1;-1;0;0;100;0;-1;999999;-1;-1;0;-1;00;4000;0;-1;-1;-1;99;0;0;5;0;0;00;0;0;0;0;0000;1;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;99;255;1;0;1000;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
24;;1;0;000000;-1;-1;0;0;200;0;-1;999999;-1;-1;0;-1;00;4001;0;-1;-1;-1;99;0;0;5;0;0;00;0;0;0;0;0000;1;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;99;255;1;0;3000;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
25;;1;0;000000;-1;-1;0;0;500;0;-1;999999;-1;-1;0;-1;00;4004;0;-1;-1;-1;99;0;0;5;0;0;00;0;0;0;0;0000;1;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;99;255;1;0;6000;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
26;;1;0;000000;-1;-1;0;0;500;0;-1;999999;-1;-1;0;-1;00;4006;0;-1;-1;-1;99;0;0;5;0;0;00;0;0;0;0;0000;1;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;99;255;1;0;5000;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
27;;1;0;000000;-1;-1;0;0;200;0;-1;999999;-1;-1;0;-1;00;4015;0;-1;-1;-1;99;0;0;5;0;0;00;0;0;0;0;0000;1;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;99;255;1;0;1000;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
28;;1;0;000000;-1;-1;0;0;100;0;-1;999999;-1;-1;0;-1;00;4065;0;-1;-1;-1;99;0;0;5;0;0;00;0;0;0;0;0000;1;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;99;255;1;0;2000;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
29;;1;0;000000;-1;-1;0;0;500;0;-1;999999;-1;-1;0;-1;00;4060;0;-1;-1;-1;99;0;0;5;0;0;00;0;0;0;0;0000;1;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;99;255;1;0;4000;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
30;;1;0;000000;-1;-1;0;0;100;0;-1;999999;-1;-1;0;-1;00;4061;0;-1;-1;-1;99;0;0;5;0;0;00;0;0;0;0;0000;1;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;99;255;1;0;5000;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
31;;1;0;000000;-1;-1;0;0;200;0;-1;999999;-1;-1;0;-1;00;4015;0;-1;-1;-1;99;0;0;5;0;0;00;0;0;0;0;0000;1;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;99;255;1;0;1000;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
35;;1;0;000000;-1;-1;0;0;200;0;-1;999999;-1;-1;0;-1;00;4128;0;-1;-1;-1;99;0;0;5;0;0;00;0;0;0;0;0000;1;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;99;255;1;0;1000;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
40;;1;0;000000;-1;-1;0;0;-1;0;41;999999;-1;-1;0;-1;00;0;0;-1;-1;-1;1;0;0;9;0;0;00;9;0;0;0;0000;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;-1;-1;-1;-1;-1;301000;-1;-1;1;0;1;1;0;0;0;0;3;0;0;1;0;2;0;1;0;1;255;1;0;-1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
41;;1;0;000000;-1;-1;0;0;-1;0;40;999999;-1;-1;0;-1;00;0;0;-1;-1;-1;1;0;0;9;0;0;00;255;0;0;0;0000;1;1;1;1;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;-1;-1;-1;-1;-1;301001;-1;-1;1;0;1;1;0;0;0;0;3;0;0;1;0;2;0;1;0;1;255;1;0;-1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
42;;1;0;000000;4420;-1;0;0;1;0;-1;999999;-1;-1;0;-1;00;0;0;-1;-1;-1;99;0;0;10;1;0;00;0;0;0;0;0000;1;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;99;255;1;0;100;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
43;;1;0;000000;1280;-1;0;0;1;0;-1;999999;-1;-1;0;-1;00;0;0;-1;-1;-1;99;0;0;10;2;0;00;0;0;0;0;0000;1;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;99;255;1;0;100;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
44;;1;0;000000;1440;-1;0;0;1;0;-1;999999;-1;-1;0;-1;00;0;0;-1;-1;-1;99;0;0;10;2;0;00;0;0;0;0;0000;1;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;99;255;1;0;100;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
60;;1;0;000000;-1;-1;0;0;1;0;-1;999999;-1;-1;0;-1;00;0;0;-1;-1;-1;99;0;50;0;2;0;00;255;0;0;0;0000;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;0;255;1;0;1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
61;;1;0;000000;-1;-1;0;0;1;0;-1;999999;-1;-1;0;-1;00;0;0;-1;-1;-1;99;0;50;0;2;0;00;255;0;0;0;0000;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;0;255;1;0;1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
62;;1;0;000000;-1;-1;0;0;1;0;-1;999999;-1;-1;0;-1;00;0;0;-1;-1;-1;99;0;50;0;2;0;00;255;0;0;0;0000;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;0;255;1;0;1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
63;;1;0;000000;-1;-1;0;0;1;0;-1;999999;-1;-1;0;-1;00;0;0;-1;-1;-1;99;0;50;0;2;0;00;255;0;0;0;0000;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;0;255;1;0;1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
64;;1;0;000000;-1;-1;0;0;1;0;-1;999999;-1;-1;0;-1;00;0;0;-1;-1;-1;99;0;50;0;2;0;00;255;0;0;0;0000;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;0;255;1;0;1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
65;;1;0;000000;-1;-1;0;0;1;0;-1;999999;-1;-1;0;-1;00;0;0;-1;-1;-1;99;0;50;0;2;0;00;255;0;0;0;0000;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;0;255;1;0;1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
66;;1;0;000000;-1;-1;0;0;1;0;-1;999999;-1;-1;0;-1;00;0;0;-1;-1;-1;99;0;50;0;2;0;00;255;0;0;0;0000;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;0;255;1;0;1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
67;;1;0;000000;-1;-1;0;0;1;0;-1;999999;-1;-1;0;-1;00;0;0;-1;-1;-1;99;0;50;0;2;0;00;255;0;0;0;0000;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;0;255;1;0;1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
68;;1;0;000000;-1;-1;0;0;1;0;-1;999999;-1;-1;0;-1;00;0;0;-1;-1;-1;99;0;50;0;2;0;00;255;0;0;0;0000;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;0;255;1;0;1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
69;;1;0;000000;-1;-1;0;0;1;0;-1;999999;-1;-1;0;-1;00;0;0;-1;-1;-1;99;0;50;0;2;0;00;255;0;0;0;0000;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;0;255;1;0;1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
70;;1;0;000000;-1;-1;0;0;1;0;-1;999999;-1;-1;0;-1;00;0;0;-1;-1;-1;99;0;50;0;2;0;00;255;0;0;0;0000;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;0;255;1;0;1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
71;;1;0;000000;-1;-1;0;0;1;0;-1;999999;-1;-1;0;-1;00;0;0;-1;-1;-1;99;0;50;0;2;0;00;255;0;0;0;0000;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;0;255;1;0;1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
72;;1;0;000000;-1;-1;0;0;1;0;-1;999999;-1;-1;0;-1;00;0;0;-1;-1;-1;99;0;50;0;2;0;00;255;0;0;0;0000;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;0;255;1;0;1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
73;;1;0;000000;-1;-1;0;0;1;0;-1;999999;-1;-1;0;-1;00;0;0;-1;-1;-1;99;0;50;0;2;0;00;255;0;0;0;0000;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;0;255;1;0;1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
74;;1;0;000000;-1;-1;0;0;1;0;-1;999999;-1;-1;0;-1;00;0;0;-1;-1;-1;99;0;50;0;2;0;00;255;0;0;0;0000;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;0;255;1;0;1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
75;;1;0;000000;-1;-1;0;0;1;0;-1;999999;-1;-1;0;-1;00;0;0;-1;-1;-1;99;0;50;0;2;0;00;255;0;0;0;0000;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;0;255;1;0;1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
76;;1;0;000000;-1;-1;0;0;1;0;-1;999999;-1;-1;0;-1;00;0;0;-1;-1;-1;99;0;50;0;2;0;00;255;0;0;0;0000;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;0;255;1;0;1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
77;;1;0;000000;-1;-1;0;0;1;0;-1;999999;-1;-1;0;-1;00;0;0;-1;-1;-1;99;0;50;0;2;0;00;255;0;0;0;0000;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;1;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;0;255;1;0;1;0;0;0;-1;0;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0000;0;0000000000000000;
